State 	ExpPrior[ Recombination rate ]	Coalescent	treeLikelihood	 num.patterns	 num.nodes	popSize	rec.rate	kappaR	kappaY	site.height	site.bps	total.bps	 mc.speed 
14920000	-5.5786	123.7036	-16263.64347846157	573	28	0.00563495	58.994349	1.164109	0.800445	0.012730530345883923	2	2	14970.06
14925000	-5.0156	134.0606	-16264.623848050931	575	28	0.00319241	44.918328	1.205204	0.54866	0.011403569035924937	2	3	15337.42
14930000	-5.6605	151.4291	-16269.781991972328	587	30	0.00426083	61.039547	0.823997	0.602155	0.01188366005934005	5	5	14925.37
14935000	-4.3802	127.4482	-16263.957676410071	591	29	0.00369509	29.034202	0.956158	1.164216	0.01038927278114467	2	2	15337.42
14940000	-5.7034	138.4533	-16265.736140100424	579	29	0.00394837	62.114197	1.141973	0.798487	0.010032652171465106	2	3	15060.24
14945000	-3.8	133.078	-16264.677666009782	616	30	0.00513417	14.527375	1.050243	1.154482	0.011890231918600077	3	4	14619.88
14950000	-6.6951	130.5596	-16259.784783080853	610	30	0.00375481	86.905854	1.256292	1.830188	0.012204053118841311	2	3	15060.24
14955000	-4.3134	142.2901	-16263.783446695154	612	30	0.00309227	27.361952	1.109372	1.391526	0.012805889424834035	3	4	14970.06
14960000	-5.1682	134.4725	-16257.455289030819	605	30	0.00317932	48.73255	1.18339	0.728772	0.011578400607601317	3	3	14925.37
14965000	-4.8365	129.9419	-16266.252115913849	579	28	0.00553994	40.439872	1.019188	1.602351	0.011733570634617226	3	3	14577.26
14970000	-4.972	144.9973	-16262.100680703494	604	30	0.00453374	43.828906	1.125513	0.833674	0.011441672714922944	4	5	15197.57
14975000	-5.1464	127.6853	-16267.375320826706	589	29	0.00345058	48.186924	0.924417	0.769707	0.009657626534679244	2	2	15290.52
14980000	-4.1128	135.3776	-16256.275928577408	595	31	0.00419281	22.347586	0.977045	0.716018	0.012117536346429123	3	3	14792.9
14985000	-5.3492	142.8236	-16264.25070034287	606	32	0.00338572	53.259152	1.282161	0.859994	0.011909935467697365	3	4	15243.9
14990000	-6.1984	144.3211	-16266.23717080037	592	29	0.00431438	74.487141	1.007239	0.89102	0.01069003789062021	4	4	15576.32
14995000	-4.2633	134.8949	-16272.44522865244	584	28	0.002845884	26.109538	0.997966	3.149857	0.010916131253443484	3	3	15060.24
15000000	-4.2611	126.6019	-16266.743480001696	573	28	0.00409772	26.055759	1.386596	1.41547	0.0112156187369936	2	2	14245.01
15005000	-3.971	123.6205	-16269.507475662074	572	28	0.00450537	18.80247	0.891231	0.504734	0.010351469526829447	2	2	15432.1
15010000	-4.6154	142.6767	-16259.207784260321	574	28	0.00428864	34.913232	1.017333	0.892899	0.01088998126199606	4	4	15105.74
15015000	-4.7582	125.7425	-16266.69736359342	576	28	0.00434899	38.482768	1.031796	1.18477	0.01136980222039243	2	2	15151.52
15020000	-4.5495	130.6618	-16267.054350965693	579	29	0.0048083	33.264437	0.81443	0.514153	0.011564815869161423	3	3	15243.9
15025000	-3.7129	125.4098	-16260.268689799203	573	28	0.00342332	12.349446	1.003127	0.814367	0.010477656914507995	2	2	15105.74
15030000	-3.8716	123.5444	-16267.807633108325	582	28	0.00438292	16.31858	1.258991	0.736952	0.012595331317532694	2	2	14534.88
15035000	-4.769	122.5539	-16263.091768612614	573	28	0.00423987	38.753261	1.108935	1.121329	0.010684541096359055	2	2	15243.9
15040000	-6.8392	137.651	-16273.31483888395	605	30	0.002466432	90.50913	1.099522	2.022207	0.011174524495732164	3	3	15337.42
15045000	-4.9937	131.4639	-16262.9603628081	581	28	0.00488042	44.371	1.276705	1.03654	0.011462292753897398	3	3	15243.9
15050000	-5.1826	129.0922	-16259.970022702306	579	28	0.00365683	49.093491	1.199449	1.51453	0.01350573029515401	2	2	15060.24
15055000	-4.6562	145.1067	-16268.270155897078	563	28	0.002799203	35.933904	1.14914	0.920909	0.010129805852122503	4	4	15197.57
15060000	-4.6612	146.0159	-16264.250281395158	604	30	0.00384546	36.056882	1.221225	0.998826	0.012058831817614175	4	4	14925.37
15065000	-3.6411	126.7663	-16263.68503457049	593	29	0.00390934	10.555013	1.323589	0.953464	0.011791357821286144	2	2	15384.62
15070000	-6.398	129.8305	-16261.85342292452	591	29	0.002656137	79.477596	1.098073	1.089441	0.011141739940552915	2	2	15290.52
15075000	-5.1854	122.5864	-16258.304469100232	611	30	0.00581728	49.161998	1.186493	0.984501	0.012103615326332409	2	2	15060.24
15080000	-5.8403	134.9706	-16265.237190233172	609	31	0.00400918	65.53642	0.939766	1.401581	0.01364589604477092	3	3	14326.65
15085000	-4.6389	139.5326	-16263.391381089154	634	34	0.00475855	35.499538	0.97168	0.880529	0.010529096612231933	4	4	15015.02
