State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood	popSize	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
11140000	-6.3982	330.3172	-20150.147296911233	0.01388943	79.482967	0.10457237869071526	0.19369057495312741	0.30222610472059425	0.39951094163556283	4.731493	0.04159726460699299	0.04076376268372647	18	22	15962	104	5611.67
11145000	-5.3266	327.8678	-20145.212359224548	0.00959002	52.692485	0.102680816406262	0.20076914288808884	0.3035199962518416	0.39303004445380757	4.159184	0.04524228607772146	0.04257139851260857	17	22	12409	100	5780.35
11150000	-6.3935	287.0155	-20144.507595660343	0.01202096	79.364561	0.09846904844359285	0.20171036419747854	0.3079191016744914	0.39190148568443733	3.900467	0.04458920331245103	0.04458920331245103	13	17	13291	102	5341.88
11155000	-6.1365	341.4044	-20143.083410362015	0.00984196	72.939815	0.09846904844359285	0.20171036419747854	0.3079191016744914	0.39190148568443733	4.111012	0.05847777411968104	0.05847777411968104	19	25	12044	97	5841.12
11160000	-5.9234	322.9489	-20151.141544662703	0.01059226	67.61325	0.10914817374860082	0.19359830482872903	0.3093446844992794	0.3879088369233907	4.606228	0.052003509342651806	0.052003509342651806	16	22	12106	98	5952.38
11165000	-6.4953	352.8928	-20151.357633432614	0.01318935	81.910511	0.1066864035954771	0.20036449610675217	0.30236760476286684	0.39058149553490384	4.041626	0.05586134160186862	0.05586134160186862	19	26	12977	97	6297.23
11170000	-6.4449	278.8313	-20145.549521861434	0.013018	80.64964	0.10409534942561124	0.19070206286456193	0.29982665454526225	0.40537593316456444	4.107693	0.047240647146267335	0.047240647146267335	14	16	14586	101	5995.2
11175000	-4.5501	281.373	-20143.812484092112	0.01228844	33.281289	0.10110624206368614	0.20147255289718558	0.3036856784139105	0.3937355266252178	3.527817	0.04078738902915653	0.04078738902915653	11	16	12782	99	5353.32
11180000	-8.2689	364.3364	-20153.70479771111	0.0137601	126.251499	0.09796256354886514	0.19520820241850723	0.3057547087616967	0.4010745252709309	3.889788	0.05097902519782249	0.04385552173886364	14	29	14757	101	6038.65
11185000	-6.221	310.3913	-20150.286196957415	0.0125469	75.053703	0.10142578930331513	0.1982064066499176	0.30523389459268524	0.395133909454082	4.150123	0.05186469467983257	0.044652547391083486	13	22	11521	97	6385.7
11190000	-5.8708	260.8425	-20144.535634964235	0.01197639	66.296879	0.10404482323023084	0.19950176453260463	0.31124200549019476	0.38521140674696985	4.148476	0.0766679463403727	0.04555155883595118	11	16	10279	94	6443.3
11195000	-6.1159	337.2486	-20149.253110339494	0.01487549	72.425975	0.10115552095538956	0.19396164360968857	0.3061057378769127	0.3987770975580093	4.154537	0.09373620114643735	0.0428777579364354	17	26	10573	96	6443.3
11200000	-5.9214	345.3405	-20151.46223309679	0.01718359	67.56372	0.10224740120486626	0.18977183335812917	0.315353784551034	0.39262698088597064	4.156524	0.10954294504538614	0.055506154385578835	15	28	11272	95	7215.01
11205000	-5.5512	343.4688	-20147.017482292307	0.01352372	58.308815	0.10475868429634308	0.19096332061559113	0.31445592044781967	0.3898220746402461	4.079411	0.09934596389525305	0.04404296473002491	16	26	10197	95	7225.43
11210000	-6.9301	362.3533	-20156.819692712852	0.01430951	92.7798	0.10319734358548056	0.18811717178543613	0.30976921753946646	0.3989162670896167	3.896685	0.10797685597245976	0.04656516981307017	14	29	12283	95	7022.47
11215000	-7.6905	514.2942	-20153.258820650182	0.01107814	111.789877	0.10286457795085331	0.19398980637972862	0.3141669347020609	0.38897868096735727	4.711186	0.10007608584753136	0.04458060762233274	23	48	13877	98	7235.89
11220000	-8.3749	565.6305	-20161.80707166743	0.01307754	128.900807	0.10069043840543386	0.19529281277134328	0.30752672122716285	0.3964900275960601	4.564928	0.10990451395174693	0.044220983574954464	27	55	13798	99	6944.44
11225000	-7.5544	477.2836	-20151.85755015104	0.01385519	108.388748	0.0999055787226426	0.19864060549099885	0.3051296184963124	0.3963241972900461	3.87152	0.12018521333553098	0.06750275651432364	23	46	14716	100	7267.44
11230000	-7.9115	479.3883	-20154.879244798176	0.01143317	117.316236	0.10582309073479909	0.1993387158943689	0.2980321031039634	0.39680609026686864	4.477098	0.11791207191925779	0.04196880827793357	23	45	11453	95	7462.69
11235000	-7.6059	432.5314	-20160.798584188546	0.01133006	109.6757	0.10460832536622583	0.1970504651260069	0.30609013925730644	0.39225107025046085	4.305593	0.11060887322461266	0.04544942644873306	20	38	10806	102	7032.35
11240000	-6.1225	407.2365	-20145.26383337946	0.01184773	72.591641	0.10427079096443698	0.19641465233925526	0.3051024936594443	0.3942120630368635	4.496366	0.10722178045796049	0.041190360082898635	22	34	10710	101	6887.05
11245000	-7.3507	516.5216	-20154.983953399355	0.01307282	103.296475	0.10225930277696427	0.1926256166047731	0.30087346766700984	0.40424161295125294	4.173836	0.1009365456977126	0.04384769161063289	19	49	10225	94	7278.02
11250000	-7.1906	473.644	-20141.734993414648	0.0102652	99.293389	0.10037879887980913	0.19741946709833125	0.3053939477045036	0.39680778631735614	4.302997	0.11296152861491429	0.04487185290965149	22	43	10722	101	7496.25
11255000	-5.6742	376.2319	-20146.898793442735	0.01068604	61.383257	0.09935393435656015	0.20158819226679717	0.3039074163007954	0.39515045707584723	3.892012	0.10766825739041751	0.04613267231313246	16	31	12224	98	6830.6
11260000	-6.8595	354.7624	-20156.90423282484	0.01284664	91.01494	0.10140950638998454	0.1970184819877245	0.31537903903586234	0.38619297258642865	4.408074	0.08731716072015441	0.04521009544835963	17	27	12576	95	6418.49
11265000	-5.1448	300.7271	-20161.914649358754	0.01212123	48.147315	0.10506181373462911	0.19532907379184902	0.3015739625103279	0.39803514996319395	3.905599	0.09851200360902958	0.0453313050336148	15	21	9813	93	6443.3
11270000	-4.9525	293.5049	-20153.734484015156	0.01582413	43.340749	0.10359745265851206	0.192606559468831	0.31130868788285826	0.39248729998979875	4.084172	0.07262637390282169	0.049283148629858484	14	20	11753	93	6234.41
