State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood		baseSize	growthRate	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
1115000	-7.4703	286.0763	-85225.75411417946		0.00501917	-6.528154	106.286215	0.2555970976838796	0.2531637792041453	0.24490714097807947	0.24633198213389557	2.084415	0.017674799893977952	11	23	6994	69	6157.64
1120000	-9.4729	314.625	-85210.42752896356		0.0049712	-1.392966	156.351066	0.25231786925912636	0.2571519222996439	0.2464917771544996	0.24403843128673022	1.833639	0.016786795608882004	14	24	9002	72	6954.1
1125000	-13.787	357.4811	-85218.25782841569		0.00434954	-22.474452	264.203433	0.25323070755719806	0.2538425474934144	0.24440941016206383	0.24851733478732366	2.086789	0.016578129687810507	15	30	8460	68	6887.05
1130000	-12.4644	396.1908	-85221.30448990557		0.00482405	6.048554	231.137178	0.2528712981088056	0.25210625356473004	0.24820498278417033	0.24681746554229395	1.945473	0.01820906890587191	18	33	8398	67	7587.25
1135000	-10.3723	290.5306	-85214.9423792322		0.00455189	-10.694585	178.834736	0.2528712981088056	0.25210625356473004	0.24820498278417033	0.24681746554229395	1.790335	0.017997906654981934	14	21	8292	70	6729.48
1140000	-8.9862	272.6878	-85226.87327724246		0.00550933	44.424473	144.182356	0.2528712981088056	0.25210625356473004	0.24820498278417033	0.24681746554229395	2.055276	0.016927210622305025	14	19	7826	66	5834.31
1145000	-9.6983	260.3756	-85211.8784153131		0.00513653	32.74756	161.986806	0.255592169946259	0.2506891085435369	0.2468097676690577	0.24690895384114644	1.872999	0.016605608608007114	14	17	7679	70	5780.35
1150000	-7.1468	207.4806	-85225.10529143532		0.00367326	21.516699	98.198131	0.2529435570750488	0.25845395702096424	0.24425216378187245	0.2443503221221145	1.921901	0.016053500437924032	11	13	8482	68	5257.62
1155000	-7.0983	214.8889	-85217.1984505793		0.00655668	28.946376	96.984384	0.2536916879822345	0.255478796649029	0.24929200139096916	0.24153751397776732	1.850048	0.025947811268794793	13	14	8973	73	5364.81
1160000	-9.8093	235.5776	-85219.2711049697		0.00324274	10.765032	164.759888	0.2507486216950719	0.2525149981916066	0.2463999756774407	0.2503364044358808	1.873262	0.02372972956937225	12	15	7113	71	5330.49
1165000	-11.2715	304.7495	-85219.27404299342		0.00713889	61.185318	201.316035	0.24918482792488006	0.2552796273825738	0.24676036323393508	0.24877518145861108	2.077832	0.01918979887241384	16	22	8450	67	5630.63
1170000	-12.3886	282.4052	-85211.27388744782		0.00471903	85.211449	229.242102	0.24918482792488006	0.2552796273825738	0.24676036323393508	0.24877518145861108	2.102712	0.01616848070818834	16	19	8863	73	5599.1
1175000	-10.398	271.6176	-85206.13452206782		0.00417485	7.087249	179.478628	0.25243154735941664	0.2528890147701293	0.2492814293445592	0.24539800852589486	1.861875	0.018468066028831	17	19	9655	73	5494.51
1180000	-12.3125	230.6298	-85220.66729344432		0.00610838	63.770118	227.339848	0.25091294207782094	0.2513676574061044	0.24940823400607826	0.24831116650999654	1.923008	0.016176286362253933	12	14	7799	69	5159.96
1185000	-8.0826	191.2509	-85241.55300628871		0.00593627	119.410247	121.593332	0.25019925825026657	0.2506526802097296	0.24869883009253352	0.2504492314474704	1.951083	0.015449070113645054	10	10	7695	69	5246.59
1190000	-12.6417	334.4286	-85225.46212615444		0.00458085	4.395702	235.570983	0.25114886647589824	0.25526718338900883	0.2459265304413307	0.2476574196937621	1.889636	0.016650574286562896	18	26	9358	68	5767.01
1195000	-11.7429	336.2193	-85215.34519337334		0.00423009	-8.278285	213.100114	0.25114886647589824	0.25526718338900883	0.2459265304413307	0.2476574196937621	1.889636	0.021446238444811434	16	26	6146	68	6793.48
1200000	-7.9996	219.4895	-85226.14975358537		0.00489372	103.797358	119.518615	0.24985824810902343	0.25395540157623336	0.2498016069385559	0.24638474337618743	1.84354	0.017197715093380805	12	13	7715	66	5980.86
1205000	-11.65	293.1062	-85222.72636346263		0.004489	29.747033	210.777188	0.2486161288895172	0.2552370833935981	0.2485597692990535	0.24758701841783118	2.165235	0.018544089761938956	18	21	9054	72	5359.06
1210000	-9.4655	260.1248	-85214.83444746358		0.00334792	-81.864688	156.165701	0.25472596287083654	0.25316163798497315	0.2465386200792708	0.24557377906491942	1.799591	0.01668630063649921	17	17	8698	71	5370.57
1215000	-10.8231	317.6148	-85201.42983079108		0.00542419	58.534834	190.10569	0.2518791377720265	0.2529770176792447	0.25020536513464237	0.24493847941408659	1.871915	0.022263976823602264	14	23	9133	70	6031.36
1220000	-10.7872	337.4826	-85207.59757377797		0.00381182	-24.048498	189.207392	0.2518791377720265	0.2529770176792447	0.25020536513464237	0.24493847941408659	1.953997	0.016811264027632913	17	25	9895	72	5834.31
1225000	-10.4408	294.6186	-85214.91745241838		0.00410457	11.387268	180.548459	0.2522761747765633	0.25221920279276455	0.24791557243287146	0.24758904999780065	1.841065	0.016198725311333786	15	20	8416	68	5882.35
1230000	-9.0549	230.092	-85210.9386477872		0.00432835	39.402787	145.901101	0.2504460590873085	0.25421427994900275	0.24752836738147604	0.24781129358221266	1.824252	0.016807948895866884	12	14	9064	67	5580.36
1235000	-7.9901	218.0568	-85217.20185824897		0.00852461	93.413126	119.280576	0.24944718581451275	0.25640319887507496	0.24732668656315943	0.24682292874725267	1.912566	0.017664614099043865	13	14	8455	68	5417.12
1240000	-8.0217	205.2184	-85215.52643194623		0.00525581	28.279578	120.071741	0.24944718581451275	0.25640319887507496	0.24732668656315943	0.24682292874725267	1.714751	0.017936772202873694	11	12	7391	69	5165.29
1245000	-8.3753	227.9126	-85211.90081487481		0.00544124	59.885507	128.911249	0.24944718581451275	0.25640319887507496	0.24732668656315943	0.24682292874725267	1.788713	0.01657829883108527	12	14	8314	70	5561.74
1250000	-11.2472	272.8404	-85209.41232308355		0.00530607	81.919284	200.708242	0.24901037499254916	0.2559542072711448	0.24689358898020444	0.24814182875610158	1.999968	0.016838863383936357	14	18	8499	67	5341.88
1255000	-10.1012	238.6979	-85221.91734335013		0.00362521	-31.188356	172.058043	0.24901037499254916	0.2559542072711448	0.24689358898020444	0.24814182875610158	1.850185	0.015508339578456333	12	15	8296	70	5070.99
1260000	-9.2559	255.1488	-85200.3025026335		0.00389988	-52.120908	150.924525	0.25326997492435854	0.25242192417495946	0.24959074090606942	0.24471735999461264	1.998341	0.022735669305639004	15	18	10222	73	5847.95
1265000	-10.0672	274.351	-85203.79114791169		0.00483695	-9.67607	171.20686	0.25326997492435854	0.25242192417495946	0.24959074090606942	0.24471735999461264	1.941735	0.01591434905915993	16	19	9964	75	5910.17
1270000	-10.756	307.7899	-85213.22177059774		0.00437907	11.440224	188.429314	0.25326997492435854	0.25242192417495946	0.24959074090606942	0.24471735999461264	1.963298	0.01576745456208239	15	22	8829	71	5767.01
1275000	-12.7937	286.1196	-85215.55334578124		0.00414702	28.25112	239.370274	0.2530870995275466	0.2529617182713787	0.24941052212649473	0.24454066007458009	1.804697	0.016230644111468764	16	20	9694	74	5599.1
1280000	-10.1954	245.3023	-85222.98355334262		0.0038938	-41.325036	174.411981	0.2530870995275466	0.2529617182713787	0.24941052212649473	0.24454066007458009	2.053052	0.017217155318853337	13	16	8233	68	5252.1
1285000	-8.0736	237.6262	-85212.09680884678		0.00499157	29.456116	121.367198	0.24955234380480198	0.25749088442504664	0.2459271155362533	0.24702965623389786	1.867664	0.016420919274400474	12	15	8695	75	5091.65
1290000	-10.381	242.0477	-85214.52387084444		0.00518473	22.83081	179.052527	0.2493081761189579	0.2582173722219714	0.24568649485615354	0.24678795680291726	1.98901	0.016037591742158398	12	15	8907	73	5197.51
1295000	-10.2467	300.0184	-85222.94636014441		0.00436291	-65.553931	175.696166	0.247375545619019	0.25621567786545685	0.2514598286670877	0.24494894784843635	1.783462	0.017095679523475103	16	23	9776	72	5370.57
1300000	-9.6809	247.1845	-85218.27924443682		0.00496755	14.656565	161.551654	0.2531510217347129	0.2539988873764453	0.2500204532340966	0.24282963765474505	1.899774	0.01699993873801197	13	16	8232	71	5605.38
1305000	-9.842	236.3983	-85206.81741080002		0.0075411	57.547293	165.577228	0.25179347532103724	0.2526367942026842	0.2486796947915366	0.2468900356847421	1.962714	0.016971934593887857	14	15	9110	70	5411.26
1310000	-8.4008	295.0089	-85216.18214369248		0.00480914	17.210614	129.547082	0.25179347532103724	0.2526367942026842	0.2486796947915366	0.2468900356847421	1.886929	0.02600031031923066	15	22	9799	73	5740.53
1315000	-9.506	322.6194	-85217.36244215074		0.00447974	-23.813658	157.178433	0.25160471634196085	0.25383190486023627	0.24817470182512638	0.24638867697267647	1.836544	0.01749843166557581	18	26	9732	71	6729.48
1320000	-15.7558	300.9517	-85221.40796604182		0.005949	-9.739957	313.422336	0.2513341471733268	0.25463431462464164	0.24790782120490157	0.24612371699712998	1.836758	0.020405506628072917	14	23	9362	69	6435.01
1325000	-11.0239	210.2347	-85218.03737100595		0.00377833	24.594571	195.125155	0.2503496118818235	0.2536368517967879	0.24693670764249495	0.24907682867889366	1.65676	0.01634047378058348	12	12	8333	72	5567.93
1330000	-10.7724	243.8437	-85225.04867236887		0.00906117	137.658661	188.838791	0.2479977843698212	0.2606483161753208	0.2446169415426337	0.2467369579122243	1.787894	0.016464719617402628	13	16	7568	71	5656.11
1335000	-9.0663	222.0875	-85222.35323190462		0.0049813	74.031836	146.186617	0.2501951864257664	0.25790102372189044	0.24607753556162731	0.24582625429071597	1.883335	0.0173558782894676	13	13	8377	69	5733.94
1340000	-8.9906	252.9424	-85223.3323005724		0.00549075	41.438856	144.293532	0.2488402160646502	0.25702699538131196	0.24721524388618338	0.24691754466785457	1.897124	0.016060167507111808	12	17	8973	73	5159.96
1345000	-10.6842	266.3841	-85218.80378091588		0.00365257	45.961071	186.633428	0.25395566996576413	0.2549633551964561	0.24614590273770579	0.24493507210007393	1.826374	0.01621158471477378	13	18	8852	75	5313.5
1350000	-6.4664	212.7624	-85214.03670375443		0.00533681	105.546489	81.189351	0.2528167156835047	0.25381988159234486	0.24952682883552232	0.2438365738886282	2.020257	0.01622068343206867	11	13	8428	70	5313.5
1355000	-12.524	311.9851	-85210.84733932053		0.005807	94.988961	232.628203	0.2528694771361345	0.2538019584054371	0.2495092087973927	0.24381935566103574	1.856496	0.016436471382601427	16	22	8225	72	5235.6
1360000	-10.1729	343.1007	-85215.34222835122		0.00596735	-4.390615	173.8496	0.2539975818923191	0.25341873862302394	0.2491324707087422	0.24345120877591486	2.209993	0.02094456795336993	15	28	9592	73	5813.95
1365000	-14.347	373.5254	-85212.509529864		0.00599555	16.899712	278.203323	0.2512636488806325	0.25069103605932325	0.24734656412756403	0.2506987509324802	1.898401	0.02109002548490311	21	30	9984	75	6313.13
1370000	-15.3911	437.7821	-85213.17584648014		0.00432951	-1.6196	304.305034	0.2529304819703388	0.2501329489388412	0.24679592245363352	0.2501406466371864	1.87978	0.021808491895468223	18	36	10092	75	6720.43
1375000	-14.992	493.4263	-85216.79015394965		0.00589881	33.571817	294.329013	0.2538515516697594	0.25410118421783284	0.24436772415357275	0.24767953995883504	1.902469	0.02251836913769665	21	42	10886	76	6720.43
1380000	-10.1516	357.5886	-85212.79347299857		0.00687002	15.524373	173.31798	0.2534708237070724	0.25521988739153967	0.24400122008790334	0.24730806881348447	1.755346	0.01882551986061024	19	29	9223	68	6729.48
1385000	-10.2729	262.2258	-85215.69410471423		0.0043541	-32.543382	176.351606	0.2534153335346211	0.25538293565201614	0.24394780301376837	0.24725392779959432	1.953883	0.016641103802406066	12	19	8482	69	6090.13
1390000	-8.4661	220.5057	-85209.58305056905		0.0070791	13.575069	131.180425	0.2534153335346211	0.25538293565201614	0.24394780301376837	0.24725392779959432	1.847559	0.015320861915339686	12	14	8478	70	5458.52
1395000	-8.1197	238.7492	-85208.55361596064		0.00672106	124.01766	122.519428	0.25247261886673483	0.2560432143789842	0.24451998061105382	0.24696418614322702	1.803295	0.016767966481542287	14	15	6510	70	5235.6
1400000	-10.6184	235.9542	-85222.09174656769		0.00316228	-98.868508	184.988205	0.25247261886673483	0.2560432143789842	0.24451998061105382	0.24696418614322702	2.024071	0.016188867260517437	14	15	8217	67	5336.18
1405000	-10.6838	236.412	-85221.16288354197		0.00505243	-7.734619	186.624154	0.25247261886673483	0.2560432143789842	0.24451998061105382	0.24696418614322702	1.79968	0.022027799441868834	15	15	9880	67	5279.83
1410000	-11.6075	273.2264	-85216.44330794502		0.0049827	-9.240407	209.714459	0.25247261886673483	0.2560432143789842	0.24451998061105382	0.24696418614322702	1.885005	0.029886485767042583	16	20	10231	73	5903.19
1415000	-8.073	234.2815	-85214.78737516046		0.00468637	-9.146466	121.353064	0.25247261886673483	0.2560432143789842	0.24451998061105382	0.24696418614322702	2.086677	0.016251414098285705	12	15	8425	71	5359.06
1420000	-8.5428	258.4906	-85210.29016204772		0.00553335	34.067809	133.097514	0.25246545394880565	0.25603594813116065	0.2445414203709786	0.24695717754905508	1.98582	0.017007528271165508	14	19	8829	74	5213.76
1425000	-8.8142	244.2695	-85214.32341265997		0.00463311	79.269956	139.881936	0.25162636312115394	0.25570425854126416	0.24372866575602117	0.24894071258156078	2.026043	0.015925636325697778	13	16	8369	72	5107.25
1430000	-7.4783	201.4571	-85221.02382886427		0.00627914	36.862348	106.484888	0.25162636312115394	0.25570425854126416	0.24372866575602117	0.24894071258156078	2.024986	0.01600137454605807	12	12	8462	71	4930.97
