State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
4298000	313.1537	-88.16180992367993	-88.16180992367993	10	33333.33
4299000	312.0671	-88.94366942825116	-88.94366942825116	10	37037.04
4300000	313.3638	-90.48503688918827	-90.48503688918827	10	37037.04
4301000	313.4199	-90.01874968479505	-90.01874968479505	10	35714.29
4302000	312.786	-88.88576817336386	-88.88576817336386	10	37037.04
4303000	313.2627	-89.472351877764	-89.472351877764	10	32258.06
4304000	312.9618	-89.56584525237746	-89.56584525237746	10	37037.04
4305000	313.4984	-89.31829417367543	-89.31829417367543	10	35714.29
4306000	313.4241	-89.59163153022195	-89.59163153022195	10	37037.04
4307000	312.6026	-90.22822990500075	-90.22822990500075	10	33333.33
4308000	313.4067	-90.7549796507602	-90.7549796507602	10	35714.29
4309000	313.5173	-91.2510241058884	-91.2510241058884	10	37037.04
4310000	313.4073	-91.08340392645252	-91.08340392645252	10	37037.04
4311000	312.9103	-90.98929227972677	-90.98929227972677	10	32258.06
4312000	313.4025	-91.76534697247136	-91.76534697247136	10	35714.29
4313000	313.4575	-91.7204500988883	-91.7204500988883	10	37037.04
4314000	313.3898	-91.18463189426163	-91.18463189426163	10	35714.29
4315000	313.2423	-91.81858439445278	-91.81858439445278	10	35714.29
4316000	313.0263	-93.07143495984508	-93.07143495984508	10	37037.04
4317000	313.3246	-95.01392814226845	-95.01392814226845	10	37037.04
4318000	312.6631	-94.00475979507765	-94.00475979507765	10	34482.76
4319000	313.2909	-94.56587337020981	-94.56587337020981	10	31250.0
4320000	313.4431	-95.2358691002381	-95.2358691002381	10	35714.29
4321000	313.4917	-92.33156177613722	-92.33156177613722	10	35714.29
4322000	313.4645	-91.43799494762084	-91.43799494762084	10	31250.0
4323000	312.6841	-92.49001224000278	-92.49001224000278	10	34482.76
4324000	312.8619	-93.04262964928651	-93.04262964928651	10	37037.04
4325000	313.1047	-92.49287230179561	-92.49287230179561	10	35714.29
4326000	313.2997	-90.5392330270141	-90.5392330270141	10	37037.04
4327000	313.4777	-90.8158867769458	-90.8158867769458	10	33333.33
4328000	311.9176	-92.64367283427987	-92.64367283427987	10	35714.29
4329000	313.0291	-90.5049650244564	-90.5049650244564	10	37037.04
4330000	312.4458	-90.4556294317876	-90.4556294317876	10	37037.04
4331000	312.7667	-90.61312570387445	-90.61312570387445	10	32258.06
4332000	312.5564	-89.01877210471665	-89.01877210471665	10	37037.04
4333000	312.7695	-89.14225787651966	-89.14225787651966	10	33333.33
