State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
105000	-6.4585	174.5611	-69025.30460418033	0.00052268	80.991167	0.31699080449560546	0.18242033027935747	0.1864283609873891	0.31416050423764785	1.930448	0.879532	0.0028357005042138304	0.0028357005042138304	5	5	10506	29	2878.53
110000	-9.4298	220.0576	-69006.01199360228	0.000909816	155.272876	0.31747874088659306	0.18334060201792798	0.18431878239179408	0.31486187470368493	1.654811	0.793872	0.0030391283617148056	0.0030391283617148056	9	9	16441	45	2969.12
115000	-9.1441	221.2311	-69007.41741839075	0.000640569	148.130113	0.31425056552438035	0.18359979569421622	0.1849573259233234	0.31719231285808	2.092584	0.853444	0.0029235296188957257	0.0029235296188957257	9	9	12506	41	2995.81
120000	-11.6185	225.1381	-69014.03075502807	0.000749822	209.990205	0.3163689569228413	0.18543276392077215	0.18317631380481195	0.31502196535157473	1.655198	0.676104	0.002930288913422177	0.002930288913422177	9	9	14467	44	2985.07
125000	-11.1449	224.1758	-69005.71292954637	0.000533122	198.149816	0.31718063743556674	0.18328792423584073	0.1847489776769795	0.3147824606516131	1.957753	0.588978	0.003395956383952974	0.003395956383952974	8	9	11282	41	2925.69
130000	-17.1529	273.4251	-69011.71639080813	0.000624003	348.349524	0.31500503626652143	0.18407300673918917	0.18680360180640918	0.3141183551878802	1.990515	1.472243	0.0034367445456173597	0.0034367445456173597	11	13	16072	49	2983.29
135000	-14.3512	220.7439	-69013.18246980454	0.000581762	278.308547	0.31281098571545024	0.18527130783799978	0.18699552955395515	0.31492217689259494	1.679264	0.869799	0.00293860616098247	0.00293860616098247	6	8	11972	38	2915.45
140000	-9.2049	206.3003	-69011.92813467464	0.000465069	149.650986	0.31544089864370073	0.1830577474992818	0.186901576723366	0.3145997771336514	1.769164	1.033787	0.003003093309156753	0.003003093309156753	8	8	15354	42	3001.2
145000	-9.8278	174.127	-69024.61138632568	0.000883838	165.223446	0.3150611159772433	0.18030214618332618	0.18694215509936518	0.31769458274006523	1.823825	1.045082	0.0031555906855047656	0.0031555906855047656	5	5	11498	33	2807.41
150000	-9.4836	234.1462	-68998.50592733588	0.000767216	156.61856	0.3163939679148287	0.1829124205752819	0.18343859516652772	0.31725501634336173	1.995414	0.933466	0.0028333256161888667	0.0028333256161888667	10	10	18144	46	2815.32
155000	-7.6468	187.3001	-69027.17887690384	0.000764023	110.698067	0.31950505315499217	0.1820412347290797	0.18408483595750375	0.3143688761584242	2.029423	0.819847	0.0027912618065331412	0.0027912618065331412	5	6	9613	36	2865.33
160000	-21.5255	254.1932	-69018.52619429854	0.000776134	457.666042	0.31887230685190815	0.18214226435908246	0.18325154142168565	0.3157338873673238	2.366554	1.112533	0.003273821982161119	0.003273821982161119	11	11	16201	46	3003.0
165000	-7.803	208.1034	-69025.37259062819	0.000931398	114.602299	0.3140915587380865	0.18732649321552133	0.18574883940602108	0.3128331086403711	1.607083	1.123332	0.003077101773629685	0.002939431964748916	7	8	11082	33	3033.98
170000	-9.4927	237.0676	-69023.81008001596	0.000542201	156.845149	0.31905906788470895	0.18237448210336088	0.18218932199700796	0.3163771280149221	1.772133	1.034558	0.0026759984503422806	0.0026759984503422806	9	10	15904	44	2834.47
175000	-8.2877	219.643	-69007.63529967327	0.000687489	126.721141	0.3147605483337223	0.1820146142801861	0.18439831376539134	0.31882652362070035	1.658108	1.06411	0.0032502817272758193	0.0032502817272758193	9	9	15767	47	2689.62
180000	-6.1003	170.1716	-69032.71146021111	0.000843818	72.036313	0.3166889987985151	0.183136656628315	0.18353988452131947	0.3166344600518506	1.779454	1.365261	0.0028099603285607483	0.0028099603285607483	5	5	11689	32	2735.23
185000	-12.3139	245.1357	-68996.02287627298	0.000820158	227.374466	0.3168529820680791	0.1823616565370297	0.1847184029744544	0.3160669584204368	2.19408	0.951165	0.003402789370460034	0.003402789370460034	11	11	18412	52	2906.98
190000	-8.6203	232.7423	-69001.51614132064	0.00061747	135.036264	0.3175929743205628	0.18190898086208096	0.18633397759490547	0.3141640672224508	1.77047	1.107777	0.0029032225584944135	0.0029032225584944135	9	10	15974	47	2903.6
195000	-6.9994	192.2644	-69027.89013345976	0.001000062	94.513873	0.3194013173019299	0.1841691146334863	0.18478372807238203	0.31164583999220163	1.633047	1.131517	0.0034161394998738458	0.0034161394998738458	7	7	15606	42	2831.26
200000	-9.0736	201.0894	-69004.61445536019	0.000742963	146.367956	0.3179706850886269	0.18400642648462032	0.18399636537800268	0.3140265230487502	1.868728	1.010271	0.0039776810328202945	0.0039776810328202945	8	8	12911	43	2917.15
205000	-8.7791	231.5467	-69000.69953258337	0.000694421	139.0049	0.3197180481688429	0.18492044388304318	0.1836235580569332	0.31173794989118064	1.916854	0.869319	0.0033676695567657223	0.0033676695567657223	9	10	12612	43	2849.0
210000	-18.6925	248.1884	-69004.92677003876	0.000607598	386.841037	0.3134655881285185	0.18845293715936345	0.18283892103276234	0.31524255367935566	2.32557	0.813516	0.0036194182963618384	0.0036194182963618384	10	11	15356	46	2941.18
215000	-11.182	272.9744	-68997.20472951255	0.000773144	199.07791	0.31703843817282473	0.1836054196220474	0.18262350922136864	0.31673263298375914	2.578748	0.838228	0.003350636145702238	0.003350636145702238	9	14	11534	45	2845.76
220000	-9.3188	198.176	-69025.04387428953	0.000568203	152.498671	0.3183601681186535	0.18088270898398154	0.18453291934387347	0.3162242035534915	2.003502	0.992344	0.0033883457375620367	0.0033883457375620367	6	7	11011	37	2808.99
225000	-16.8586	293.7643	-69013.12413637241	0.000744571	340.992312	0.31645547880885966	0.18369616027179703	0.18733013686127467	0.3125182240580686	2.139883	0.609176	0.005115261873185256	0.005115261873185256	13	15	20792	46	2923.98
