State 	ExpPrior[ RecRate ]	GammaPrior[alpha]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	alpha	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
290000	-14.3093	0.5277	179.9172	-14639.731197618123	0.001934112	277.261412	0.2524576606264977	0.23841761457635458	0.2586343451902988	0.250490379606849	0.0549485	1.254445	0.0029903949330953705	0.0029903949330953705	5	7	1205	46	3937.01
295000	-8.2312	1.2743	168.0303	-14638.599445289616	0.001751591	125.308828	0.248302132657959	0.25269501213612305	0.2534924556172234	0.24551039958869453	0.02054028	1.867915	0.0030725892396069533	0.0030725892396069533	6	6	1455	49	3924.65
300000	-5.3434	-1.7564	150.8975	-14648.36924265524	0.001584144	53.114076	0.25272935556727044	0.23926584856118868	0.2582507749881119	0.2497540208834289	0.877919	1.770302	0.00315780071151254	0.00315780071151254	5	5	1295	47	3888.02
305000	-8.8721	-2.6231	161.772	-14645.153665267637	0.001376884	141.331011	0.24980353189028104	0.23649589062241275	0.25526103036440134	0.25843954712290496	1.950133	2.33317	0.003053084938119977	0.003053084938119977	5	6	1298	47	3952.57
310000	-9.0039	-1.8458	168.0285	-14645.239696096442	0.001517433	144.626673	0.2536388378855444	0.24151295543128087	0.255058167400541	0.2497900392826338	0.961734	1.203619	0.0025101513971910036	0.0025101513971910036	6	6	1581	44	3990.42
315000	-10.415	-1.2978	156.8882	-14641.80065073484	0.001427071	179.903164	0.25108958072503906	0.23961590308299358	0.25765687208552407	0.25163764410644335	0.534121	2.517533	0.00319098849682467	0.00319098849682467	5	5	1309	45	3762.23
320000	-10.227	-2.7529	168.3576	-14643.07849689727	0.001546946	175.201956	0.2524913553095421	0.2394255949653961	0.2616295631826501	0.2464534865424118	2.161156	2.296203	0.0030090989204234406	0.0030090989204234406	6	6	1318	43	3723.01
325000	-9.286	-0.6924	167.4516	-14643.137659546575	0.001650044	151.677864	0.2543792355802304	0.23749774514031619	0.2623358164776892	0.2457872028017643	0.260986	1.802808	0.0029346535506897123	0.0029346535506897123	5	6	1306	48	3863.99
330000	-6.2855	-2.9156	138.8141	-14652.73465020064	0.002701926	76.664748	0.2513469169998271	0.23568041332115724	0.25920865175924795	0.25376401791976766	2.443626	1.5361	0.002742696941201479	0.002742696941201479	4	4	1101	42	3717.47
335000	-4.7377	-1.2814	139.7173	-14655.242629209282	0.001272988	37.970469	0.24970217422902058	0.2423117858331763	0.25668887312688715	0.25129716681091596	0.524313	1.881673	0.0026513638286907925	0.0026513638286907925	4	4	1192	43	4149.38
340000	-10.1242	-1.7625	169.4138	-14647.535564064165	0.001327283	172.632663	0.25183359883071527	0.23947400335266011	0.25368271647380375	0.25500968134282087	0.88342	1.59973	0.003166576525318359	0.003166576525318359	6	6	1159	47	3894.08
345000	-5.6563	-2.9221	143.0436	-14652.21463713986	0.001034706	60.936313	0.2417982429489952	0.24146611965415238	0.2627143239081813	0.2540213134886712	2.455353	2.198171	0.003365172018395097	0.003365172018395097	4	4	1118	44	4019.29
