State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
663000	-4.2035	60.7218	-4000.7259679070235	0.0166819	24.61597	2.653873	0.03940601343864342	0.03940601343864342	5	6	631	20	29411.76
664000	-4.5428	55.9363	-4004.74685398769	0.01878769	33.098147	2.263666	0.04435147714847745	0.04435147714847745	5	6	428	21	25641.03
665000	-3.6752	33.6287	-4003.473402850844	0.01466048	11.409252	2.699482	0.04277172245405117	0.04277172245405117	2	2	666	16	31250.0
666000	-4.2877	51.4702	-4005.1594795306955	0.02875961	26.721296	2.350601	0.06704762778162043	0.06586208673078804	4	6	689	17	29411.76
667000	-4.3968	57.7763	-4003.6335328773434	0.0280028	29.448573	2.086723	0.046498000385117144	0.046498000385117144	3	6	537	16	32258.06
668000	-3.9593	36.0344	-4007.4099569674586	0.0380693	18.510399	2.33916	0.04856961840882257	0.04856961840882257	3	3	571	15	31250.0
669000	-3.5667	34.6109	-4005.285762655715	0.01337725	8.694501	1.906731	0.038530132720612086	0.038530132720612086	2	2	537	16	28571.43
670000	-3.872	60.1605	-4008.8942924664484	0.01633788	16.328026	1.861327	0.04220074780830087	0.04220074780830087	6	6	775	21	26315.79
671000	-3.6717	37.2258	-4003.9773666305746	0.0342599	11.321134	3.083761	0.04823708513163765	0.04823708513163765	3	3	537	16	27777.78
672000	-5.6103	56.806	-4006.136529266869	0.01780487	59.784422	2.193987	0.03831140066427535	0.03831140066427535	3	5	540	16	28571.43
673000	-3.9889	40.1102	-4002.022148071881	0.02837168	19.251335	2.884587	0.03670566825961483	0.03670566825961483	3	3	681	17	27777.78
674000	-3.851	32.4655	-4002.0507610497543	0.01988812	15.802615	2.160271	0.04506798300569689	0.04506798300569689	2	2	537	16	29411.76
675000	-3.9256	47.2143	-4004.2781240347695	0.02750683	17.668551	2.241864	0.04272135277640144	0.03592154019277094	4	4	540	16	29411.76
676000	-4.4764	66.5968	-4002.2173882074244	0.02202143	31.438018	2.493973	0.06003847962349045	0.04030356212861519	4	8	540	16	27777.78
677000	-4.5377	91.2591	-4002.250625378255	0.01900896	32.971098	2.694029	0.04698724921242044	0.04698724921242044	8	11	664	18	30303.03
678000	-3.923	44.7681	-4007.9152164085995	0.0331842	17.603068	3.385104	0.040007471440179306	0.040007471440179306	3	4	536	16	28571.43
679000	-3.4546	39.9731	-4001.83667187166	0.01587985	5.892336	2.661773	0.04134919269460244	0.04134919269460244	3	3	571	15	28571.43
680000	-4.6948	69.3275	-4001.05250650504	0.01729299	36.897209	2.282957	0.03957378999838748	0.03957378999838748	5	7	770	22	29411.76
681000	-4.9206	45.8018	-4004.1604671039167	0.01724536	42.541889	3.338251	0.034897776874547294	0.034897776874547294	2	4	537	16	28571.43
682000	-3.4424	32.7807	-4006.3962008371295	0.02825447	5.588888	1.829472	0.04541256972058651	0.04541256972058651	2	2	537	16	26315.79
683000	-3.9096	39.8089	-4001.177662143851	0.02746813	17.268128	2.536814	0.043301895729385226	0.043301895729385226	3	3	540	16	29411.76
684000	-5.2962	41.0149	-4002.7793700044735	0.0416354	51.933389	2.255763	0.041488653759927295	0.041488653759927295	4	4	656	18	30303.03
685000	-4.2444	32.8483	-4004.0577698178854	0.02181987	25.639184	2.322756	0.04085807592227776	0.04085807592227776	2	2	542	16	30303.03
686000	-4.159	44.8891	-4002.474744495131	0.02380558	23.503037	2.646878	0.043245638401021816	0.043245638401021816	3	4	679	18	30303.03
687000	-3.8388	56.4349	-4001.279027575689	0.02035481	15.498404	2.60405	0.05004370819934137	0.04659149344618972	5	6	685	17	29411.76
688000	-4.0012	40.7957	-4001.4198511416544	0.01631783	19.557941	2.31867	0.039655955173431026	0.039655955173431026	3	3	666	18	28571.43
689000	-3.69	33.4692	-4008.2287168869716	0.02370274	11.779081	1.751668	0.036957048138518724	0.036957048138518724	2	2	542	16	28571.43
690000	-3.7557	38.9037	-4003.560961298385	0.03009217	13.419478	2.842809	0.042431803439773395	0.042431803439773395	3	3	776	18	29411.76
